2
63
P01
P02
P03
P04
P05
P06
P07
1
2
3
4
5
6
7
9
10
11
12
13
14
15
16
17
18
19
20
23
24
25
28
29
30
31
33
34
35
37
38
39
40
41
43
44
45
46
48
49
50
52
E181
E143
E85
E358
E745
E691
E733
E993
E847
E101
E117
E139
E44
E40
121
23	24	23
24	25	30
25	31	66
31	33	57
30	29	40
31	30	8
6	5	90
24	6	80
23	5	54
20	6	33
20	25	65
20	28	89
33	37	19
34	35	0
37	34	21
37	38	24
38	41	27
41	39	10
41	40	42
38	40	5
40	P07	57
41	P07	10
33	34	4
39	E117	210
E139	E117	20
P07	E101	180
P07	E993	47
P07	E847	120
E993	E847	83
E44	E40	38
P07	E44	270
E101	E44 0
E847	E44	200
28	45	92
29	52	38
45	52	110
20	45	28
48	49	41
48	52	45
49	52	81
49	50	73
52	50	120
P06	45	110
P06	48	67
P06	46	56
46	44	43
44	19	0
16	17	0
19	20	100
15	14	0
14	13	17
15	16	0
16	18 0
P06	E143	300
E85	E143	60
E143	E181	43
P06	E85	290
P05	44	60
P05	P06	62
19	17	35
1	2	23
2	3	22
3	4	31
4	5	26
5	P03	20
7	10	97
7	6	5
4	7	45
7	19	120
10	19	78
9	11	10
12	11	50
9	10	45
15	12	42
14	12	9
12	17	65
P01	43	14
P02	13	13
P02	12	4
P04	1	94
P04	9	110
P02	P04	110
P02	P01	38
P01	P05	150
P04	P03	55
P03	P07	400
P07	P06	350
E358	E745	160
P03	E358	66
E691	E733	46
E733	E691 0
12	13	22
46	48	50
1	9	49
2	9	53
3	9	62
4	P03	55
6	19	130
9	19	75
11	19	29
11	17	51
16	19	40
6	23	5
28	31	65
28	30	50
28	29	18
29	45	54
30	33	30
30	34	54
31	29	58
34	40	44
34	38	55
35	40	0
35	37	0
38	39	43
46	45	63
45	48	100
P05	E181	57
E733	P03	240
P06	E993	450
E101	E117	32
P03	E139	150
